Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,career,career_encoded
0.25,0.5,0.0,0.0,1.0,0.0,0.25,0.0,0.5,0.0,Cybersecurity Analyst,3
0.0,0.5,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Project Manager,7
1.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.75,Machine Learning Engineer,6
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,UI/UX Designer,9
0.25,0.0,1.0,0.5,0.5,0.0,1.0,0.0,0.25,0.0,UI/UX Designer,9
0.75,0.5,0.0,0.0,0.0,0.25,0.25,0.0,0.5,0.75,Software Engineer,8
0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,Data Analyst,4
0.0,0.5,0.0,0.75,0.0,1.0,0.0,1.0,0.5,0.0,Project Manager,7
0.25,0.25,0.5,0.5,0.0,0.25,0.75,0.0,0.25,0.0,Content Creator,2
0.5,1.0,0.0,1.0,0.5,0.0,0.0,0.5,0.0,0.0,Data Analyst,4
0.25,1.0,0.0,0.5,0.0,0.5,0.25,1.0,0.25,0.25,Business Analyst,0
0.5,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.0,Cybersecurity Analyst,3
0.25,0.75,0.25,0.5,0.25,0.5,0.25,0.75,0.0,0.0,Business Analyst,0
0.0,0.5,0.0,0.75,0.5,1.0,0.0,0.75,0.0,0.0,Project Manager,7
0.75,0.0,0.0,0.25,0.5,0.0,0.0,0.25,1.0,0.75,Cloud Engineer,1
0.0,0.0,0.5,1.0,0.0,0.0,0.75,0.0,0.25,0.0,Content Creator,2
0.0,0.75,0.5,1.0,0.25,0.75,1.0,0.5,0.0,0.0,Digital Marketer,5
0.25,0.5,0.5,1.0,0.0,0.5,1.0,0.5,0.0,0.0,Digital Marketer,5
1.0,1.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5,0.5,Software Engineer,8
0.0,0.5,0.25,1.0,0.0,0.25,1.0,0.5,0.25,0.5,Digital Marketer,5
1.0,0.5,0.0,0.75,0.0,1.0,0.0,0.0,0.0,1.0,Machine Learning Engineer,6
0.5,0.5,0.0,0.0,1.0,0.25,0.0,0.25,0.5,0.5,Cybersecurity Analyst,3
0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.25,1.0,0.25,Cloud Engineer,1
0.25,0.75,0.0,0.25,0.0,0.0,0.0,1.0,0.25,0.5,Data Analyst,4
0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.25,Cybersecurity Analyst,3
0.75,1.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.5,Data Analyst,4
0.0,0.0,0.75,1.0,0.0,0.0,1.0,0.0,0.0,0.25,Content Creator,2
0.25,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.25,0.25,Project Manager,7
0.75,0.0,0.0,0.0,0.5,0.25,0.25,0.0,0.5,0.5,Software Engineer,8
0.5,1.0,0.0,0.0,0.0,0.5,0.0,0.75,0.0,0.5,Data Analyst,4
0.5,0.5,0.25,0.0,0.0,0.0,0.25,0.0,0.0,1.0,Machine Learning Engineer,6
0.0,0.25,1.0,0.5,0.0,0.25,0.5,0.0,0.0,0.0,UI/UX Designer,9
1.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.5,Software Engineer,8
0.25,1.0,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.25,Data Analyst,4
0.0,0.75,0.5,1.0,0.0,0.75,1.0,0.0,0.0,0.0,Digital Marketer,5
0.0,0.5,0.25,0.5,0.0,0.25,0.0,1.0,0.0,0.0,Business Analyst,0
0.0,0.5,0.5,0.5,0.25,0.25,1.0,0.5,0.0,0.0,Digital Marketer,5
1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,Machine Learning Engineer,6
1.0,0.5,0.0,0.0,0.75,0.25,0.0,0.0,0.75,0.0,Cybersecurity Analyst,3
1.0,1.0,0.0,0.25,0.0,0.5,0.0,0.0,0.5,1.0,Machine Learning Engineer,6
0.0,0.5,0.0,1.0,0.0,0.75,0.75,0.5,0.0,0.0,Digital Marketer,5
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,Machine Learning Engineer,6
0.5,1.0,0.0,0.5,0.0,0.25,0.0,0.75,0.25,0.5,Data Analyst,4
1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,Software Engineer,8
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.75,0.0,0.25,Project Manager,7
0.5,1.0,0.0,0.5,0.0,0.25,0.0,0.75,0.0,0.25,Data Analyst,4
0.0,0.75,0.0,0.75,0.0,0.5,0.0,1.0,0.0,0.0,Business Analyst,0
0.25,1.0,0.0,0.25,0.0,0.0,0.0,0.25,0.5,0.5,Data Analyst,4
0.25,0.0,0.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Content Creator,2
0.5,1.0,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.5,Data Analyst,4
0.0,0.75,0.0,1.0,0.25,1.0,0.0,1.0,0.25,0.0,Project Manager,7
0.75,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.5,Machine Learning Engineer,6
1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.25,Cloud Engineer,1
0.75,0.5,0.0,0.0,0.75,0.25,0.0,0.0,0.75,0.0,Cybersecurity Analyst,3
0.75,0.75,0.0,0.0,0.5,0.25,0.0,0.25,0.5,0.5,Software Engineer,8
1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.5,1.0,Machine Learning Engineer,6
0.0,0.25,0.0,1.0,0.0,1.0,0.25,1.0,0.0,0.0,Project Manager,7
0.25,0.0,0.75,0.5,0.25,0.0,1.0,0.0,0.0,0.0,UI/UX Designer,9
0.25,0.0,1.0,0.5,0.0,0.25,1.0,0.0,0.0,0.25,UI/UX Designer,9
0.75,1.0,0.0,0.0,0.25,0.25,0.0,0.25,0.5,1.0,Machine Learning Engineer,6
0.25,0.75,0.25,0.25,0.5,0.0,0.0,0.75,0.0,0.5,Data Analyst,4
0.25,0.75,0.5,0.75,0.0,0.75,0.0,1.0,0.0,0.0,Business Analyst,0
1.0,1.0,0.25,0.0,0.5,0.25,0.25,0.0,0.5,1.0,Machine Learning Engineer,6
0.5,1.0,0.25,0.75,0.25,0.0,0.25,0.5,0.25,0.5,Data Analyst,4
1.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.75,Software Engineer,8
0.75,0.75,0.0,0.75,0.25,0.0,0.0,0.25,0.5,0.25,Data Analyst,4
0.25,0.0,0.25,0.0,0.75,0.0,0.0,0.0,1.0,0.5,Cloud Engineer,1
0.0,0.5,0.25,0.75,0.0,1.0,0.0,1.0,0.0,0.0,Project Manager,7
0.0,0.0,0.25,1.0,0.0,0.0,1.0,0.0,0.0,0.25,Content Creator,2
0.0,1.0,1.0,0.75,0.0,0.5,1.0,0.0,0.0,0.0,Software Engineer,8
0.75,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Cybersecurity Analyst,3
0.5,0.25,0.25,0.0,1.0,0.0,0.0,0.0,0.5,0.5,Cybersecurity Analyst,3
1.0,1.0,0.25,0.0,0.0,0.25,0.0,0.5,1.0,0.75,Software Engineer,8
0.0,1.0,0.0,0.5,0.25,1.0,0.0,1.0,0.0,0.0,Business Analyst,0
0.0,1.0,0.25,0.5,0.0,0.25,0.0,1.0,0.0,0.0,Business Analyst,0
1.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,1.0,Machine Learning Engineer,6
0.0,0.5,0.25,0.5,0.0,0.5,1.0,0.25,0.0,0.0,Digital Marketer,5
0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.25,1.0,0.5,Cloud Engineer,1
0.0,0.75,0.75,1.0,0.0,0.5,1.0,0.25,0.25,0.0,Digital Marketer,5
0.25,0.5,0.0,0.0,1.0,0.25,0.0,0.0,0.5,0.25,Cybersecurity Analyst,3
0.0,1.0,0.0,0.75,0.0,0.5,0.0,0.75,0.0,0.0,Business Analyst,0
0.75,0.75,0.0,0.0,1.0,0.5,0.0,0.25,0.5,0.0,Cybersecurity Analyst,3
0.0,0.75,1.0,0.75,0.0,0.75,1.0,0.5,0.0,0.0,Digital Marketer,5
0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,Data Analyst,4
1.0,0.25,0.25,0.25,0.5,0.0,0.25,0.0,0.5,0.25,Software Engineer,8
0.25,0.0,0.5,1.0,0.25,0.25,0.75,0.0,0.0,0.0,Content Creator,2
0.0,0.25,0.25,1.0,0.0,1.0,0.0,1.0,0.25,0.25,Project Manager,7
0.5,0.75,0.0,0.0,0.75,0.25,0.0,0.0,0.75,0.5,Software Engineer,8
0.25,0.25,1.0,0.5,0.0,0.0,0.75,0.0,0.0,0.0,UI/UX Designer,9
0.0,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Data Analyst,4
0.0,0.25,1.0,0.75,0.25,0.0,1.0,0.0,0.5,0.5,UI/UX Designer,9
1.0,1.0,0.0,0.25,0.0,0.0,0.25,0.25,0.25,1.0,Machine Learning Engineer,6
0.25,0.25,0.75,0.75,0.0,0.5,1.0,0.5,0.0,0.0,Digital Marketer,5
0.5,1.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.5,Machine Learning Engineer,6
0.0,0.75,0.0,1.0,0.0,0.0,0.25,1.0,0.25,0.0,Business Analyst,0
1.0,0.5,0.0,0.75,0.0,0.5,0.0,0.0,0.0,1.0,Machine Learning Engineer,6
0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,1.0,0.25,Cloud Engineer,1
0.5,0.5,0.25,0.0,0.75,0.25,0.0,0.0,0.25,0.25,Cybersecurity Analyst,3
0.25,0.25,0.5,0.75,0.0,0.5,1.0,0.25,0.0,0.0,Digital Marketer,5
0.5,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,0.25,Cloud Engineer,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,Machine Learning Engineer,6
0.25,0.75,0.5,1.0,0.0,0.25,0.75,0.5,0.0,0.25,Digital Marketer,5
0.5,0.5,0.0,0.25,1.0,0.0,0.0,0.25,0.5,0.0,Cybersecurity Analyst,3
1.0,0.5,0.0,0.0,0.25,0.25,0.0,0.0,0.75,0.5,Software Engineer,8
0.5,0.0,0.5,0.0,0.75,0.0,0.0,0.0,1.0,1.0,Cloud Engineer,1
0.0,0.5,0.25,1.0,0.25,0.75,0.25,1.0,0.0,0.0,Project Manager,7
0.0,0.75,0.5,0.5,0.0,0.25,0.0,1.0,0.0,0.0,Business Analyst,0
0.0,0.0,0.25,1.0,0.0,0.0,1.0,0.5,0.0,0.0,Content Creator,2
0.75,1.0,0.0,0.5,0.0,0.25,0.25,0.5,0.25,0.75,Data Analyst,4
0.25,1.0,0.0,0.0,1.0,0.5,0.0,0.25,0.5,0.0,Cybersecurity Analyst,3
0.25,0.25,1.0,1.0,0.0,0.25,0.75,0.0,0.0,0.0,Content Creator,2
0.0,0.0,0.5,0.75,0.0,0.25,0.75,0.0,0.25,0.25,Content Creator,2
1.0,0.75,0.25,0.0,0.5,0.0,0.0,0.25,0.0,0.25,Software Engineer,8
0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Cybersecurity Analyst,3
1.0,0.25,0.0,0.25,1.0,0.0,0.0,0.0,0.5,0.25,Cybersecurity Analyst,3
1.0,0.25,0.25,0.25,0.5,0.25,0.25,0.0,0.75,0.5,Software Engineer,8
0.0,0.5,0.0,1.0,0.0,0.75,1.0,0.0,0.0,0.0,Digital Marketer,5
0.0,0.5,0.0,0.5,0.0,0.75,0.5,1.0,0.0,0.25,Business Analyst,0
0.0,0.5,0.25,1.0,0.25,1.0,0.0,1.0,0.0,0.0,Project Manager,7
1.0,0.75,0.0,0.0,0.25,0.0,0.0,0.25,0.5,0.25,Software Engineer,8
0.5,1.0,0.25,0.75,0.25,0.0,0.0,0.5,0.0,0.5,Data Analyst,4
0.25,0.75,0.25,0.75,0.25,1.0,0.0,0.75,0.0,0.25,Project Manager,7
0.0,0.0,1.0,0.25,0.25,0.0,1.0,0.0,0.0,0.0,UI/UX Designer,9
0.25,0.5,0.25,0.75,0.0,0.5,0.0,1.0,0.0,0.0,Business Analyst,0
0.25,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.25,Cybersecurity Analyst,3
0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.25,0.25,0.0,Content Creator,2
0.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.0,Content Creator,2
0.0,0.25,0.75,1.0,0.0,0.25,1.0,0.0,0.0,0.0,Content Creator,2
0.0,1.0,0.5,0.75,0.0,1.0,0.0,0.0,0.0,0.0,Business Analyst,0
1.0,0.5,0.0,0.75,1.0,1.0,0.0,0.0,0.0,0.0,Cybersecurity Analyst,3
0.0,0.25,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,UI/UX Designer,9
1.0,0.25,0.0,0.0,1.0,0.0,0.0,0.25,0.25,0.5,Software Engineer,8
0.5,0.25,0.0,0.25,0.0,0.0,0.25,0.0,1.0,0.0,Cloud Engineer,1
0.0,0.5,0.5,1.0,0.0,0.25,1.0,0.5,0.25,0.0,Digital Marketer,5
0.0,0.0,0.75,0.25,0.0,0.0,1.0,0.0,0.0,0.0,UI/UX Designer,9
0.25,1.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,Data Analyst,4
1.0,0.5,0.0,0.0,0.5,0.0,0.25,0.0,1.0,0.5,Software Engineer,8
0.25,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Project Manager,7
1.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.75,0.5,Software Engineer,8
0.0,0.75,0.25,1.0,0.0,0.5,1.0,0.5,0.25,0.25,Digital Marketer,5
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,1.0,Machine Learning Engineer,6
1.0,1.0,0.5,0.75,1.0,1.0,0.0,0.0,0.0,0.0,Cybersecurity Analyst,3
0.5,0.0,0.75,1.0,0.0,0.0,1.0,0.5,0.0,0.0,Content Creator,2
1.0,1.0,0.0,0.5,0.0,0.0,0.25,0.0,0.5,1.0,Machine Learning Engineer,6
0.0,0.25,1.0,1.0,0.0,0.75,1.0,1.0,0.0,0.0,Digital Marketer,5
0.5,0.75,0.0,0.25,1.0,0.0,0.0,0.0,0.5,0.0,Cybersecurity Analyst,3
1.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.5,1.0,Machine Learning Engineer,6
0.0,0.0,0.75,0.75,0.0,0.25,1.0,0.0,0.0,0.0,UI/UX Designer,9
0.0,0.0,1.0,1.0,0.0,0.0,0.75,0.0,0.0,0.0,UI/UX Designer,9
1.0,1.0,0.0,0.25,0.0,0.0,0.0,0.25,0.5,0.75,Machine Learning Engineer,6
0.75,0.75,0.5,0.0,0.25,0.0,0.0,0.25,0.25,0.5,Software Engineer,8
0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.25,0.0,Business Analyst,0
1.0,0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.25,Software Engineer,8
0.0,0.25,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,UI/UX Designer,9
0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Content Creator,2
0.75,0.5,0.0,0.25,0.25,0.0,0.0,0.0,0.5,0.25,Software Engineer,8
0.5,0.0,0.25,0.25,1.0,0.0,0.25,0.0,0.75,0.0,Cybersecurity Analyst,3
1.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Cybersecurity Analyst,3
0.75,0.75,0.0,0.0,0.25,0.25,0.0,0.0,0.75,0.75,Software Engineer,8
0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.75,0.25,Cybersecurity Analyst,3
0.0,1.0,0.0,0.5,0.0,0.75,0.0,1.0,0.0,0.0,Business Analyst,0
0.5,1.0,0.0,0.75,0.0,0.0,0.0,0.25,0.0,1.0,Data Analyst,4
0.25,0.0,1.0,0.5,0.0,0.0,1.0,0.5,0.25,0.0,UI/UX Designer,9
0.0,0.0,1.0,0.5,0.0,0.0,0.75,0.0,0.0,0.0,UI/UX Designer,9
0.5,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.25,Cybersecurity Analyst,3
0.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Software Engineer,8
0.5,1.0,0.0,0.5,0.0,0.0,0.25,0.25,0.25,0.5,Data Analyst,4
0.0,0.0,0.75,1.0,0.0,0.0,1.0,0.25,0.5,0.25,Content Creator,2
0.0,1.0,0.0,0.25,0.0,0.75,0.0,1.0,0.0,0.25,Business Analyst,0
0.0,0.75,0.0,1.0,0.25,1.0,0.0,0.75,0.0,0.25,Project Manager,7
0.0,0.0,0.5,1.0,0.0,0.0,0.75,0.0,0.0,0.0,Content Creator,2
1.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,1.0,1.0,Machine Learning Engineer,6
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,Cloud Engineer,1
0.75,0.75,0.0,0.5,0.0,0.25,0.25,0.5,0.0,0.5,Data Analyst,4
0.25,0.25,0.0,0.25,1.0,0.0,0.0,0.0,0.5,0.0,Cybersecurity Analyst,3
1.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.5,1.0,Machine Learning Engineer,6
1.0,0.75,0.0,0.0,0.75,0.25,0.0,0.25,0.5,0.5,Software Engineer,8
0.0,0.0,0.75,0.75,0.0,0.0,1.0,0.25,0.0,0.25,Content Creator,2
1.0,0.5,0.0,0.0,0.25,0.5,0.25,0.25,0.5,1.0,Machine Learning Engineer,6
0.75,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.75,0.5,Cloud Engineer,1
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.5,Cloud Engineer,1
0.75,1.0,0.25,0.75,0.5,0.0,0.25,0.5,0.0,0.5,Data Analyst,4
0.0,0.0,0.0,1.0,0.25,0.5,1.0,0.0,0.25,0.0,Content Creator,2
0.25,0.5,0.75,0.75,0.0,0.0,1.0,0.5,0.25,0.0,Digital Marketer,5
0.0,0.25,0.5,0.5,0.0,0.0,0.75,0.0,0.0,0.0,UI/UX Designer,9
0.0,0.0,0.5,0.5,0.25,0.0,1.0,0.0,0.25,0.5,Content Creator,2
0.75,0.5,0.0,0.0,1.0,0.0,0.0,0.25,0.25,1.0,Software Engineer,8
0.0,0.5,0.75,1.0,0.0,0.25,1.0,0.75,0.0,0.0,Digital Marketer,5
0.0,0.75,0.0,0.75,0.0,0.5,0.25,0.75,0.0,0.0,Business Analyst,0
0.25,0.75,0.0,0.5,0.5,0.25,0.0,0.5,0.0,0.75,Data Analyst,4
0.5,1.0,0.25,1.0,0.25,0.0,0.25,0.75,0.0,0.75,Data Analyst,4
0.75,0.5,0.0,0.25,0.5,0.0,0.0,0.0,0.5,0.25,Software Engineer,8
0.0,0.0,0.75,1.0,0.0,0.0,0.75,0.25,0.0,0.0,Content Creator,2
1.0,0.5,0.5,0.25,0.75,0.0,0.0,0.0,0.25,0.75,Software Engineer,8
0.0,0.0,0.5,0.25,0.0,0.0,1.0,0.25,0.5,0.0,UI/UX Designer,9
0.5,0.5,0.0,0.25,0.75,0.0,0.0,0.25,1.0,0.0,Cybersecurity Analyst,3
1.0,1.0,0.25,0.0,0.25,0.25,0.5,0.25,0.5,0.75,Machine Learning Engineer,6
0.0,1.0,0.0,0.5,0.0,0.75,0.25,1.0,0.0,0.0,Business Analyst,0
0.0,0.5,0.25,0.75,0.0,0.0,1.0,0.25,0.0,0.0,Content Creator,2
0.0,1.0,0.25,1.0,0.0,0.5,1.0,0.5,0.0,0.0,Digital Marketer,5
0.0,0.25,0.0,1.0,0.25,0.5,1.0,0.5,0.0,0.0,Digital Marketer,5
0.25,0.0,0.0,0.25,1.0,0.0,0.0,0.0,1.0,0.5,Cloud Engineer,1
0.25,0.75,0.75,1.0,0.0,0.5,1.0,0.5,0.0,0.0,Digital Marketer,5
0.25,1.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.75,Data Analyst,4
0.75,1.0,0.25,0.75,0.25,0.0,0.0,0.0,0.25,0.5,Data Analyst,4
0.25,0.5,0.25,1.0,0.0,1.0,0.0,1.0,0.5,0.0,Project Manager,7
0.0,0.0,0.25,1.0,0.0,0.0,1.0,0.25,0.25,0.0,Content Creator,2
0.25,0.25,0.5,1.0,0.0,0.0,1.0,0.25,0.0,0.25,Content Creator,2
1.0,0.5,0.0,0.25,0.5,0.0,0.25,0.25,0.75,0.5,Software Engineer,8
0.0,0.75,0.0,0.0,0.25,0.25,0.0,1.0,0.0,0.0,Business Analyst,0
0.0,0.75,0.5,1.0,0.0,0.25,1.0,0.5,0.0,0.0,Digital Marketer,5
0.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Data Analyst,4
0.5,1.0,0.0,0.25,0.5,0.5,0.0,1.0,0.0,0.75,Data Analyst,4
0.25,0.25,0.0,0.0,1.0,0.0,0.25,0.0,0.75,0.0,Cybersecurity Analyst,3
0.0,0.25,0.75,0.5,0.0,0.0,1.0,0.25,0.0,0.0,Content Creator,2
0.0,0.25,0.75,0.75,0.0,0.5,1.0,0.5,0.0,0.0,Digital Marketer,5
0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.75,0.25,Cloud Engineer,1
0.5,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.75,1.0,Cloud Engineer,1
0.0,0.5,0.25,1.0,0.0,0.75,1.0,0.5,0.0,0.0,Digital Marketer,5
0.75,0.75,0.25,0.0,0.5,0.0,0.0,0.25,0.75,0.75,Software Engineer,8
0.25,0.0,0.25,0.75,0.25,0.0,1.0,0.0,0.0,0.0,Content Creator,2
1.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.5,Software Engineer,8
0.0,0.75,0.0,0.75,0.0,1.0,0.0,1.0,0.0,0.0,Project Manager,7
0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.0,Cybersecurity Analyst,3
0.75,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.25,Cloud Engineer,1
0.0,1.0,0.0,0.25,0.0,0.5,0.0,1.0,0.0,0.0,Business Analyst,0
0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.5,Cloud Engineer,1
0.75,0.5,0.0,0.25,0.5,0.25,0.0,0.0,0.75,0.75,Software Engineer,8
0.5,0.75,0.0,0.25,0.5,0.25,0.5,0.5,0.0,0.5,Data Analyst,4
0.0,0.5,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,UI/UX Designer,9
0.75,0.5,0.0,0.0,0.75,0.0,0.0,0.0,1.0,0.75,Cloud Engineer,1
0.5,1.0,0.0,0.0,0.0,0.25,0.25,0.0,0.5,1.0,Machine Learning Engineer,6
0.0,1.0,0.0,0.5,0.25,0.5,0.25,1.0,0.0,0.0,Business Analyst,0
0.5,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.25,Cybersecurity Analyst,3
0.5,0.75,0.0,0.5,0.5,0.0,0.25,0.5,0.0,0.5,Data Analyst,4
0.0,0.0,0.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,Content Creator,2
0.0,0.0,0.5,1.0,0.25,0.0,1.0,0.0,0.0,0.0,Content Creator,2
0.25,0.25,1.0,0.5,0.25,0.0,1.0,0.0,0.0,0.0,UI/UX Designer,9
0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.25,0.0,Content Creator,2
0.0,0.5,1.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,Data Analyst,4
0.0,0.25,0.75,1.0,0.0,0.0,1.0,0.0,0.25,0.0,Content Creator,2
0.75,0.0,0.0,0.25,0.25,0.5,0.5,0.0,0.75,0.5,Cloud Engineer,1
0.0,0.25,0.0,1.0,0.25,1.0,0.0,1.0,0.5,0.0,Project Manager,7
0.0,1.0,0.0,0.25,0.25,0.5,0.25,1.0,0.25,0.0,Business Analyst,0
1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.75,0.25,Software Engineer,8
0.5,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.5,Data Analyst,4
0.0,0.25,0.25,0.5,0.0,0.75,0.75,0.5,0.0,0.0,Digital Marketer,5
0.0,0.0,1.0,0.75,0.0,0.5,1.0,0.0,0.0,0.0,UI/UX Designer,9
